cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat
353,14.920087009826574,12.627693684634062,17.381554026496175,2,twin,middle-aged
354,13.893351357951097,11.911172606788323,15.98414333468992,2,twin,middle-aged
355,15.771091012821891,13.6075173575921,18.096739067795998,2,twin,middle-aged
356,14.687277412583867,12.831689440902181,16.68081587908323,2,twin,middle-aged
357,12.75923692938391,11.12472315484651,14.469096335454244,2,twin,middle-aged
358,15.36316283333981,13.3950748191009,17.42197313860817,2,twin,middle-aged
359,14.583933780537254,12.817176708856383,16.485395161369674,2,twin,young
360,14.583933780537254,12.817176708856383,16.485395161369674,2,twin,young
361,12.006798544123182,9.506526766895432,14.865431812800585,1,singleton,middle-aged
362,12.511234237562796,10.773333883356978,14.47659788594141,2,twin,middle-aged
363,13.329779315563224,11.648621138565282,15.235840196892939,2,twin,middle-aged
364,15.93649815277367,13.764602874833736,18.32000079616145,2,twin,middle-aged
365,16.636062730047815,14.213501297727278,19.323449592758408,2,twin,middle-aged
366,9.714710752690625,8.270961046499446,11.25308711195722,1,singleton,middle-aged
367,10.518289646497577,9.153322751523458,12.084006216715542,1,singleton,middle-aged
368,15.381062423771072,13.477312533839623,17.563268468120214,2,twin,middle-aged
369,15.89376450456344,13.926556284967607,18.14871075039089,2,twin,middle-aged
370,14.380338801103807,12.390170746888597,16.568437304391363,2,twin,middle-aged
371,14.14381501445632,12.370665173503985,16.022538951593464,2,twin,middle-aged
372,21.519344109407946,18.29671493157807,25.054677650449612,1,singleton,middle-aged
373,12.878600142802348,11.41835757564268,14.396413381529108,2,twin,old
374,10.821420016226593,9.739008765580211,11.963795654339139,2,twin,old
375,20.651693971453742,18.013944681325608,23.45147746671779,1,singleton,middle-aged
376,12.431937652340347,10.904327739833876,14.077814505289817,1,singleton,young
377,13.34141378383882,11.807031981323766,14.980179281248954,2,twin,old
378,12.42527574173361,11.158826131108045,13.753045333501142,2,twin,old
379,15.025753735805015,12.504518045434459,17.74470257231429,1,singleton,middle-aged
380,14.026051135174818,11.392485538042893,16.966888628221156,1,singleton,young
381,14.549688715210321,12.90740460770207,16.321256248731615,2,twin,middle-aged
382,17.789427075152506,15.971296484422544,19.79662057095943,2,twin,middle-aged
383,12.149032681774669,10.870880240791955,13.560687966047983,2,twin,old
384,10.540496289904828,9.3187865468685,11.849194828987839,2,twin,old
385,9.438712570900096,8.494073053419966,10.473910582132206,2,twin,middle-aged
386,8.727648595215328,7.748602142127889,9.788063076043395,2,twin,middle-aged
387,12.397068590131484,10.616163876361364,14.270981177062426,2,twin,middle-aged
388,12.136097183779219,10.559171190934375,13.852300072951708,2,twin,middle-aged
389,13.694973159448757,11.255654021775603,16.408808806250775,2,twin,young
390,11.829549220325806,9.820610723422721,14.009150936810455,2,twin,young
