cub,mean,ci_2.5,ci_97.5,cub_number,litter_size,age_mat,length_mat
372,24.64539768589118,22.077348023833483,27.569911651635195,1,singleton,middle-aged,197
373,12.145846601490986,10.793386643558566,13.651049733515489,2,twin,old,195
374,10.308622998794027,9.159767892774587,11.633681606440215,2,twin,old,195
375,20.226368688179832,17.56346547777552,22.770182811545535,1,singleton,middle-aged,205
376,12.04235205852908,10.202248278926719,14.042549928945606,1,singleton,young,186
377,13.698530423536333,12.208648297115186,15.420689928551022,2,twin,old,196
378,12.886664551952581,11.476486900313276,14.562151966968466,2,twin,old,196
379,15.600946203821973,13.080954587501157,18.21265001721483,1,singleton,middle-aged,201
380,15.747326592605885,13.103246481941659,18.54620196331483,1,singleton,young,199
381,14.17155917304699,12.496334703379011,15.91470926690668,2,twin,middle-aged,201
382,17.493670687584256,15.665940183308075,19.4675471570932,2,twin,middle-aged,201
383,11.631557188384585,10.308861273460758,13.151809286551105,2,twin,old,202
384,9.99071177774805,8.823079746307924,11.245556250170072,2,twin,old,202
385,9.306343256014754,8.353659572828814,10.329896784851876,2,twin,middle-aged,198
386,8.523443796392144,7.542458447882939,9.591682452794478,2,twin,middle-aged,198
387,11.90421043144194,10.125963153839876,13.85182308561513,2,twin,middle-aged,194
388,11.765524626933804,10.239990850164963,13.433362242528222,2,twin,middle-aged,194
389,12.94461416265713,10.836048907003526,15.376008045450517,2,twin,young,190
390,11.294047432709712,9.505463809097309,13.401230102116795,2,twin,young,190
391,25.91148135498749,21.07178477849763,31.3433765728252,1,singleton,middle-aged,193
392,14.26531158429514,11.850580697259907,16.848997077929916,2,twin,old,204
393,11.887759653579286,9.875483914383258,14.04083089827493,2,twin,old,204
394,12.949905780847946,11.389506661893698,14.597482924822376,2,twin,young,192
395,12.949905780847946,11.389506661893698,14.597482924822376,2,twin,young,192
396,10.247280153875522,8.822226897601453,11.716283313357735,2,twin,young,180
397,10.247280153875522,8.822226897601453,11.716283313357735,2,twin,young,180
398,10.829115526917944,9.433942693777496,12.23712329039449,2,twin,young,182
399,10.829115526917944,9.433942693777496,12.23712329039449,2,twin,young,182
400,12.568506492035253,10.694521230688126,14.811858999159,2,twin,young,213
401,12.355480958271942,10.513258158981548,14.56081054154614,2,twin,young,213
402,12.17132261703569,10.105475679296477,14.465102888248367,1,singleton,old,205
403,14.542315363448582,12.285660779288037,17.11945575383379,1,singleton,old,198
404,16.680113661804292,13.885294296655113,19.585514592622225,1,singleton,old,200
405,14.162800602391794,11.125606622692006,17.640747013775744,1,singleton,old,213
406,17.795823457813583,14.215564804376932,22.244138940545696,1,singleton,young,180
407,10.52741696849231,8.823766096088288,12.314270846690748,2,twin,old,191
408,8.421933574793844,7.059012876870629,9.851416677352596,2,twin,old,191
409,10.050523702646755,8.347718924384807,11.970480556280455,1,singleton,old,196
410,23.264802474061778,19.329692399189273,27.364900691320337,1,singleton,middle-aged,200
411,9.910468177974922,8.5832985654504,11.39755897592339,2,twin,old,200
412,10.67281188397299,9.243552301254274,12.274294281763646,2,twin,old,200
413,16.22761009824669,14.144250440796407,18.620501687408527,2,twin,old,196
414,15.320443134642376,13.364164022285495,17.612467540335548,2,twin,old,196
415,13.839031796265465,12.022504815132207,15.862671400084759,2,twin,old,190
416,12.991744135269617,11.286433091756768,14.891487436814261,2,twin,old,190
417,14.883034296840593,12.989689207832027,17.016017600711184,2,twin,middle-aged,192
418,14.351497357667718,12.525771736123746,16.408302686400074,2,twin,middle-aged,192
419,10.124107174960912,8.45870414214002,12.06552711298655,3,triplet,old,193
420,5.38332171690631,4.515453724286365,6.410653136005979,3,triplet,old,193
421,11.574141691348565,9.708225507215682,13.782904242412853,3,triplet,old,193
422,7.106955501083257,5.276635324155963,9.403833415501163,3,triplet,young,207
